economy,year,crisis_label,SPE,T2,UCL_SPE,UCL_T2,is_anomaly_SPE,is_anomaly_T2,is_anomaly_combined,combined_score
ARE,1990,0,0.2612510952303902,27.87680630663418,2.0617676393810833,17.09109025041723,0,1,1,1.631072441733414
ARE,1991,0,0.8992378053633606,11.358070662886014,2.0617676393810833,17.09109025041723,0,0,0,0.6645609201325666
ARE,1992,0,0.6523063606507791,9.501082065991529,2.0617676393810833,17.09109025041723,0,0,0,0.5559084837059817
ARE,1993,0,0.7073592351497368,10.139548133909997,2.0617676393810833,17.09109025041723,0,0,0,0.5932651448998386
ARE,1994,0,0.3325662149653865,11.582001706273456,2.0617676393810833,17.09109025041723,0,0,0,0.6776631295356195
ARE,1995,0,0.29330624281296513,11.17464254275536,2.0617676393810833,17.09109025041723,0,0,0,0.6538285375026067
ARE,1996,0,1.1011770295554482,10.487899826843236,2.0617676393810833,17.09109025041723,0,0,0,0.6136472087605531
ARE,1997,0,2.1589659898104885,10.85890858604078,2.0617676393810833,17.09109025041723,1,0,1,1.0471432127330231
ARE,1998,0,2.0541376659832595,12.808165552655145,2.0617676393810833,17.09109025041723,0,0,0,0.9962993049012476
ARE,1999,0,1.585931845598385,10.005764514170366,2.0617676393810833,17.09109025041723,0,0,0,0.7692097864502626
ARE,2000,0,1.30164578452631,14.124122706278936,2.0617676393810833,17.09109025041723,0,0,0,0.8264026752731082
ARE,2001,0,1.3799462264873927,9.12503123244929,2.0617676393810833,17.09109025041723,0,0,0,0.6693024956496239
ARE,2002,0,1.155289407719078,7.874217795977292,2.0617676393810833,17.09109025041723,0,0,0,0.5603392863736485
ARE,2003,0,0.9029911554196878,8.661548883643322,2.0617676393810833,17.09109025041723,0,0,0,0.5067873820063571
ARE,2004,0,0.8051608835976303,10.685097183040053,2.0617676393810833,17.09109025041723,0,0,0,0.6251852296420474
ARE,2005,0,0.558646912849183,7.283419162779975,2.0617676393810833,17.09109025041723,0,0,0,0.4261529870864833
ARE,2006,0,1.6923579733663723,11.510439162049655,2.0617676393810833,17.09109025041723,0,0,0,0.8208286622804871
ARE,2007,0,5.780199451675447,11.332728914193627,2.0617676393810833,17.09109025041723,1,0,1,2.803516429916705
