,effect_size
Gross_Savings_GDP,0.5823086692549009
Exports_GDP,0.5076048792795135
Trade_GDP,0.48850135686718177
Imports_GDP,0.46057922679223545
GDP_PerCapita_Growth,-0.4449118137313037
Manufacturing_Value,0.42113717606557904
GDP_Growth,-0.3773254785225759
Exchange_Rate,0.3469387604974474
Investment_GDP,0.3358207640647154
Total_Reserves,0.3211834611675871
Current_Account_GDP,0.2965532450331943
Inflation_CPI,0.2832997689251578
Unemployment,0.22350949439856857
FDI_Inflows_GDP,0.05713699702593886
