score,mean_crisis,mean_normal,median_crisis,median_normal,cohens_d,cohens_d_interpretation,cliffs_delta,cliffs_delta_interpretation
SPE,0.7767849946465719,0.6430034170559893,0.3526147881466498,0.3271122777400185,0.14620846465353404,negligible,0.04180044550272677,negligible
T2,33.19015604748028,8.993501805054144,8.943480520077784,4.664141518166216,0.4538729013266462,small,0.3493860621289764,medium
combined_score,2.0297984408687357,0.624278145323713,0.6743609745267543,0.348935116234993,0.451228367242034,small,0.33038087191247967,medium
