economy,year,crisis_label,is_anomaly_combined,GDP_Growth,GDP_PerCapita_Growth,Inflation_CPI,Total_Reserves,Unemployment,Current_Account_GDP,Trade_GDP,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Exchange_Rate,Manufacturing_Value,Investment_GDP
ARE,1990,0,1,0.04577801167876637,0.08219996400757545,8.198450171128795e-06,0.0324492632967288,0.014913375115910885,0.0077511320955030395,0.0011948799996412778,0.004088463883155374,3.8201027993446525e-05,0.006978978000706477,0.048016107719707844,0.002485582079403562,0.00045031744846770567,0.014898620426658807
ARE,1991,0,0,0.18475917090825525,0.3186597370781336,0.00015383655774073657,0.11329940227832459,0.05267789317328488,0.0017808863185781406,0.006341166116133848,0.015138416507518432,0.01586291124703456,0.0006004051616848632,0.023061674190524573,0.011008160362689237,0.00014350941247565473,0.1557506360509822
ARE,1992,0,0,0.16589836626390392,0.26057687820285946,0.00019042524931402223,0.05898949087717183,0.03188379746702209,0.0019398064353521528,0.0037160386219242465,0.009220254847335315,0.01147506989000864,3.498778627939581e-05,0.007033439890138117,0.006243778331237616,2.2335719328071438e-05,0.09508169106890423
ARE,1993,0,0,0.11741451539946546,0.22015561833467232,7.808408474275503e-05,0.10831397903020881,0.04570021061995822,0.002668379640576069,0.005854952108541311,0.013144469809288238,0.015344337857108576,0.0004049215239721132,0.02038334006353251,0.010214344297712062,0.0003968296450549851,0.14728525273490342
ARE,1994,0,0,0.1084518865518066,0.15010375506923923,0.0001784379120982465,0.013856164170188796,0.010857332799151222,0.0018976019499494772,0.0012163922704331652,0.0031883005401143255,0.0063580482775033855,0.00035455485119716276,3.856689283289763e-06,0.001849423496397435,0.00043381342505037957,0.033816646962973845
ARE,1995,0,0,0.0881271973626501,0.12635508750863678,0.000138344949775765,0.01585222008309672,0.010802687381994112,0.0022511228901174957,0.0012851991360026333,0.0031710446079257076,0.006582474763849271,0.0003362747003968483,3.6210002081573595e-05,0.001986004610388198,0.00024538439741361305,0.036136990418636245
ARE,1996,0,0,0.40171876910221127,0.5352677281253178,0.000634059251257344,0.032329033246372665,0.031465758720389723,0.00042557465325507304,0.0028522272019898516,0.00912950544786575,0.010028525937798547,6.188317050419313e-06,0.0022225880992927318,0.004453789042184092,0.001795557902812079,0.06884772450765089
ARE,1997,0,1,0.9297725246249092,1.112146880137504,0.0017775899202842039,0.0080627970522524,0.03104609018393926,1.8298279706052855e-07,0.0018430773814193005,0.009085386906000735,0.008302725864844401,0.00021656333293349373,0.000593404367754727,0.0025072046841697667,0.009730191536755379,0.0438813708349245
ARE,1998,0,0,0.6035995046103176,0.8980633358790926,0.0007166051467532999,0.1437387276367163,0.08901112755966281,0.0004785708683103743,0.009112496915971536,0.025578792300207265,0.021095141764420417,0.0013137764408229986,0.030685790326833533,0.015529083908791055,0.0003642790230625381,0.2148504336022968
ARE,1999,0,0,0.5392206566271679,0.7470241368885037,0.0007755152224313982,0.06785297462793326,0.05380184319166792,0.0005155263234683444,0.0050879626695930795,0.015546049764592503,0.014204510545216386,0.0002046590466672335,0.00850151615690743,0.008348533048888008,0.001470965146014319,0.1233769963393334
ARE,2000,0,0,0.5968909444983349,0.6529297722113188,0.001386491386018866,0.0017855995366835653,0.006800751453028447,0.00039334542856218744,0.00017685861091320355,0.0020729670800278834,0.0036882108368031254,0.0018930740465263564,0.01609420138344739,0.00010390129841784025,0.0109768915559692,0.006452775200258544
ARE,2001,0,0,0.42460601394355985,0.6131635446261372,0.0005969879902136089,0.08034220264227065,0.05364965207334887,0.003144584786966195,0.005590584556101664,0.015570480250177831,0.01624393812098534,0.00015130663902685235,0.005215770956182171,0.00943055650519734,0.00076600311627424,0.15147460028095092
ARE,2002,0,0,0.37341460848238595,0.5217177893561106,0.000574158135256396,0.05172179030226062,0.039623735928735276,0.004077061713855787,0.004499756947238008,0.01157597699350039,0.026405417437954045,0.0021275591503854313,0.0013874805784344544,0.006630725871580988,0.0011865615949450674,0.11034678522643511
ARE,2003,0,0,0.40511260539140026,0.4548823849033307,0.0009162035159529392,4.887507908748539e-05,0.0067336221840775794,0.0007609781097396839,0.0002976713707250269,0.0020378651139721215,0.004129526459367914,0.0015201304113567945,0.009580805612820818,0.0002735374865118627,0.006706142979825618,0.009990806801518842
ARE,2004,0,0,0.37167377071416535,0.35766899788428513,0.000883206176483165,0.026852551252556228,6.609852205055062e-06,0.005970564749836643,0.00020730273136081658,2.6607690676703153e-06,0.0016698908820327193,0.0064496610055173485,0.0035298296995510763,0.0010207707730104539,0.009481848699570463,0.0197432184079881
