economy,year,anomaly_score,predicted_anomaly
ARE,1990,1.6609640628774098,1
ARE,1991,0.4603891218360135,0
ARE,1992,0.4621700433461002,0
ARE,1993,0.4419234100651482,0
ARE,1994,0.5156743097037039,0
ARE,1995,0.49649672981350634,0
ARE,1996,0.4679201993673602,0
ARE,1997,0.5323724129952326,0
ARE,1998,0.36798490238483894,0
ARE,1999,0.36844094954397005,0
ARE,2000,0.6728624995216311,0
ARE,2001,0.33493729214627804,0
ARE,2002,0.32903258806623176,0
ARE,2003,0.500413410408726,0
ARE,2004,0.5903522599790879,0
ARE,2005,0.3965386577981263,0
ARE,2006,0.6735200337200484,0
ARE,2007,0.43367588406933627,0
ARE,2008,0.41774423355435436,0
ARE,2009,1.9299264966145144,1
ARE,2010,1.076507955009963,1
ARE,2011,0.5258912827959707,0
ARE,2012,0.504098647232586,0
ARE,2013,0.5524860415857369,0
ARE,2014,0.5297607413706114,0
ARE,2015,0.5976716058276278,0
ARE,2016,0.5539157776986575,0
ARE,2017,0.5315425516464164,0
ARE,2018,0.47267044703083283,0
ARE,2019,0.4515134742911128,0
ARE,2020,0.9547593482981338,0
ARE,2021,0.5027749924865635,0
ARE,2022,0.6255355082748566,0
ARE,2023,0.5584776368284559,0
ARE,2024,0.5611715641564372,0
ARG,1990,10.966230464823054,1
ARG,1991,1.240504624047976,1
ARG,1992,0.8953939320523919,0
ARG,1993,0.2890922746774449,0
ARG,1994,0.23189927679993788,0
ARG,1995,0.5483993068771544,0
ARG,1996,0.4223367540679971,0
ARG,1997,0.40277974391418087,0
ARG,1998,0.20672297917279114,0
ARG,1999,0.5158670625388534,0
ARG,2000,0.34583522088227125,0
ARG,2001,0.5565145134961094,0
ARG,2002,1.9722617563927634,1
ARG,2003,0.9254233538929776,0
ARG,2004,0.5070023397558107,0
ARG,2005,0.5770293663680622,0
ARG,2006,0.33301149356952064,0
ARG,2007,0.3113423092320859,0
ARG,2008,0.16237106909881466,0
ARG,2009,0.6065919685511824,0
ARG,2010,0.37114810309646723,0
ARG,2011,0.18247638785475848,0
ARG,2012,0.26019047692925446,0
ARG,2013,0.17310691144698764,0
ARG,2014,0.30253341908610965,0
ARG,2015,0.18345195450338223,0
ARG,2016,0.2833652720748349,0
ARG,2017,0.17768726461313628,0
ARG,2018,0.39524819160754415,0
ARG,2019,0.34762705227328905,0
ARG,2020,0.9037658653063426,0
ARG,2021,0.4341482822528745,0
ARG,2022,0.22603979562457685,0
ARG,2023,0.40585390180207936,0
ARG,2024,0.6677837155465234,0
AUS,1990,0.5262787046505977,0
AUS,1991,0.3095212180639027,0
AUS,1992,0.19467791885844804,0
AUS,1993,0.16892604003867395,0
AUS,1994,0.1679034779107825,0
AUS,1995,0.157793193095632,0
