GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,economy,year,is_anomaly_combined
0.002343122908549243,0.046307675498543165,0.0015866824390210587,0.006363861701685465,0.0022870673379803545,9.789535032201265e-05,0.000629266761845638,0.0030267692019907994,0.035212682951332924,0.0007708875762369178,0.0022498332418264214,0.0021341674868963646,0.05102042961775618,0.0006524423102749237,ARE,1990,1
0.04135935999395772,0.0005150797632449958,0.0839128418087443,0.04445698374843412,0.12383396567836237,0.0061973616600757885,0.025548015033856,0.008928696794558176,0.10578886712750454,0.2186617357208359,0.09644230151449884,0.09640857782413771,7.43714777809091e-05,0.006335218259905875,ARE,1991,0
0.02763582417148219,0.0008394541825594559,0.05906556738281258,0.037153500533945005,0.08707559333564986,0.004392249713010248,0.019913384198784433,0.0053099344885677875,0.06343788178320937,0.16422110206196344,0.06760117965869852,0.06722410415832122,0.0034401198273425818,0.0056576013603600785,ARE,1992,0
0.03805775907641227,0.0005909313235861141,0.08034431569940945,0.04396701220961072,0.11819605428991696,0.00597119961735496,0.02510127381887072,0.00815358390469267,0.09825685986975459,0.2108724930844595,0.09245326798883058,0.09122429451643806,0.003394383724086953,0.007447905944621497,ARE,1993,0
0.008660976770501044,0.0030362341448365144,0.02026059710565564,0.023716459401390933,0.030105985580447085,0.0015179072548765211,0.01058173862060475,0.0006173419246377163,0.008920977047210921,0.0744257172787385,0.02251898400812349,0.023151400285375174,0.005644046392916676,0.002516446889154124,ARE,1994,0
0.008771877136344475,0.0021899920740682233,0.02022970850152863,0.023765771695174864,0.030093426388178596,0.0015124559495433058,0.01071782757853093,0.0005861242678631653,0.008880256066888357,0.07450553621134526,0.022453374494478078,0.023215583232856052,0.004383820756201896,0.002362894815750697,ARE,1995,0
0.011708414572863394,0.0021882754754134564,0.026523582206320215,0.026353456244028357,0.039329347092576655,0.0019814963597969974,0.01243309968303068,0.0011479551685467948,0.015906846210501834,0.0900891225754598,0.029721350731276918,0.03031126873305322,0.004699053854012192,0.002993271651085587,ARE,1996,0
0.0026556863050893015,0.004112365708442353,0.007148957381353266,0.01752354198754634,0.010774785874111282,0.00054094945098565,0.00674972618893721,1.450902567593989e-05,1.2738404779049747e-05,0.03894062223255939,0.007543889887076444,0.008264877171325754,0.006111257601166905,0.0012027138984210862,ARE,1997,0
0.02261911007926006,1.3841417949722493e-05,0.04707711369948865,0.03471439820600709,0.06973649398850572,0.0034833344877274316,0.018950512558065107,0.003005864833665116,0.04320951380599897,0.1401162466048348,0.05329753867221209,0.054350362146057214,0.00042382336070792076,0.003774521364963819,ARE,1998,0
0.013071982411119574,8.731047627410025e-06,0.027743803054341355,0.02751924744566556,0.04134475195354018,0.0020525003417878962,0.013540512704422785,0.0010773111172780337,0.016940679670450053,0.09462234695659427,0.030932961250204775,0.03232868847229352,0.0004836968253052766,0.002280575518977,ARE,1999,0
