economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,Exchange_Depreciation,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,is_crisis
ARE,1990,2.7536218099513228,-0.003933720218182907,-1.1226432339442933,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.5673660562017498,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.6060301418247993,0.13125704805642585,-1.1119143225743644,0
ARE,1991,-0.6476968223492442,-0.003933720218182907,-1.1226432339442933,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.5224752841913027,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.6185616022331637,0.13125704805642585,-0.005095791610033743,0
ARE,1992,0.03585030230890162,-0.003933720218182907,-1.1037770227234918,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.4920635294899692,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.590267879475875,0.13125704805642585,-0.5257232655918711,0
ARE,1993,-0.5374036776157656,-0.003933720218182907,-1.0629733565947812,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.41439220234468277,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.5444868798060747,0.13125704805642585,-0.8505034276896563,0
ARE,1994,1.012494924243759,-0.003933720218182907,-1.07767145138308,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.5136177572587803,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.2581137483931895,0.13125704805642585,-0.35362274909856883,0
ARE,1995,0.9551728105315587,-0.003933720218182907,-1.0851301860517693,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.43263406072723526,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.211379531925594,0.13125704805642585,-0.23189617919123745,0
ARE,1996,0.7106211095316366,-0.003933720218182907,-1.077232702284922,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.4647973419762776,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-1.2455680434220213,0.13125704805642585,-0.4080533645778805,0
ARE,1997,1.368460564315875,-0.003933720218182907,-1.0618764838493857,2.1778573993163226,-0.044102305664952594,-0.24437237992565583,-0.4831010229446924,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-0.9273385609072328,0.13125704805642585,-0.29348964929659077,0
ARE,1998,-0.8038914144293641,-0.003933720218182907,-1.0263378068985731,2.1778573993163226,-0.044102305664952594,-0.24290939479191664,-0.4757464971380984,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-0.7412979568482977,0.13125704805642585,-0.5476919498384613,0
ARE,1999,-0.08605946615914621,-0.003933720218182907,-0.9984772391655291,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.7184871168946663,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-0.7599090817051433,0.13125704805642585,-0.16707755728591042,0
ARE,2000,2.100800930774605,-0.003933720218182907,-0.9864116389661791,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.6087287088096155,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-0.629782585408398,0.13125704805642585,0.03579914460195346,0
ARE,2001,-0.49949532409012165,-0.003933720218182907,-0.9440723509939148,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.34604292447697954,0.34574788527350214,0.1404785607941068,1.1123479570443957,-0.2564729467275328,-0.5823347731992806,0.13125704805642585,0.3832292112113048,0
ARE,2002,-0.21496932953903994,-0.003933720218182907,-0.8966874483928318,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.5166031843756344,0.357003315797213,0.2513910503519039,1.1123479570443957,-0.24897567751913638,-0.6263401364452287,0.13125704805642585,-0.21592950348108764,0
ARE,2003,1.5363276094256568,-0.003933720218182907,-0.8431600584175339,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.020609930938331755,0.5669505225817798,0.3601950695311647,1.1123479570443957,-0.32132408360124415,-0.7672606025607144,0.13125704805642585,0.028038842507668957,0
ARE,2004,1.7470013738712005,-0.003933720218182907,-0.8295588363746305,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.5592112449137863,0.8169556055451616,0.6189007279279898,1.1123479570443957,-0.6954826907160788,-0.8992005624303013,0.13125704805642585,0.4772446756538571,0
ARE,2005,0.45113534998938887,-0.003933720218182907,-0.7955557812673716,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.44127422749473244,0.9483422333776471,0.5767761905707995,1.1123479570443957,-0.6627293765059686,-1.0582676865568565,0.13125704805642585,0.8394466573074435,0
ARE,2006,1.8214718789442985,-0.003933720218182907,-0.8297782109237095,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.39789328137121693,0.9824351023943612,0.5332058511903737,1.1123479570443957,-0.8186484035706063,-1.2255601255455448,0.13125704805642585,0.45424844203524717,0
ARE,2007,-0.008396615862301378,-0.003933720218182907,-0.8363594473960821,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.3552176795055872,1.1052784072123205,1.0589531705950281,1.1123479570443957,0.21254289920272285,-1.3366437246983538,0.13125704805642585,1.403877848231466,0
ARE,2008,-0.006361375087327004,-0.003933720218182907,-0.8618068950892566,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.2721279515131257,1.3173201505254561,1.261625462715531,1.1123479570443957,0.19496038064723406,-1.4114531804112056,0.13125704805642585,0.34777800323947666,0
ARE,2009,-2.3263319753418585,-0.1917671119092999,-0.8367981964942404,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.45853407005338687,1.3430063043350327,1.4228989351470778,1.1123479570443957,1.3316707424046486,-1.306778076001124,0.13125704805642585,-0.3440753387354976,0
ARE,2010,-0.4434048826070941,-0.20378421442046185,-0.8661943860708383,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.07023627032409217,1.2708050011834386,0.8120297493324588,1.1123479570443957,0.859584258269764,-1.4996570861029297,0.13125704805642585,-0.4386012747478853,0
ARE,2011,0.9686068887744741,-0.20379540316843212,-0.9124824159265259,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.21834221777361768,1.538420378363723,0.8317084175369677,1.1123479570443957,0.1385624379681729,-1.542315028780072,0.13125704805642585,-0.5014262208602717,0
ARE,2012,0.40385977684195923,-0.20757501380818366,-0.9703972968834057,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.13835647847486174,1.8645435894238322,0.9281189989837216,1.1123479570443957,-0.09666299599003222,-1.5465314236791283,0.13125704805642585,-0.53248377872887,0
ARE,2013,0.46854984601557886,-0.1998630095566977,-1.0138334576010652,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.1466853661764553,1.8695917976709215,0.9515993843265672,1.1123479570443957,-0.4933423630524825,-1.5714825869089963,0.13125704805642585,0.42503788827461886,0
ARE,2014,0.390014171308884,-0.17798169226689795,-1.0414746507850305,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.11099253826996465,1.837498643304177,1.0716487944276314,1.1123479570443957,-0.3226348988037312,-1.5384678923944037,0.13125704805642585,-0.35280911007926474,0
ARE,2015,1.0651918197616976,-0.14769075427903589,-1.0866658078953226,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.1700700230899564,1.8076946276307708,1.2917639080066188,1.1123479570443957,-0.4059482172585264,-1.3613618505198561,0.13125704805642585,-0.4817310734600043,0
ARE,2016,0.6719355424464658,-0.19078872361571994,-1.1202301139044235,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.12536700901307868,1.8277157048642498,1.3110029801416005,1.1123479570443957,-0.5301256427454346,-1.3338796719626564,0.13125704805642585,-0.5970666649953259,0
ARE,2017,-1.1761979543298817,-0.1846497342226661,-0.939904234561412,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.11719262799889509,1.8363056401538767,1.3039869759829823,1.1123479570443957,-0.5867666662043496,-1.3173808372278872,0.05193411723426982,-0.550896555643521,0
ARE,2018,-0.4614601593552281,-0.16528740080266038,-0.9894828826532864,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,-0.15095789485674724,1.7089455832609204,1.0391961889008945,1.1123479570443957,-0.4897932548339599,-1.3898567271736066,-0.035206789981624916,-0.6350940289291404,0
ARE,2019,-0.5346000207740783,-0.24243630757665158,-0.9686423004907728,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.13279528915689,1.7893737791376079,1.2954914534222783,1.1123479570443957,-0.137726132937984,-1.3687749590036642,-0.0079175777676701,-0.3480030483279449,0
ARE,2020,-3.2753939756136305,-0.24243630757665158,-0.5380100606485213,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.3659941060727746,1.945374866765135,1.7874739561777542,1.1123479570443957,-0.2001086234800334,-1.342531609407898,0.2755476337105826,-0.5249423147297915,1
ARE,2021,0.367978168660053,-0.21605117432884632,-0.798846399503558,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.25728326503177495,2.0294258378531977,1.7505685719297115,1.1123479570443957,0.24451640446536016,-1.3811829686237862,0.010478313952163401,-0.4683799830442558,0
ARE,2022,1.1825989347681214,-0.12622926739465765,-0.8499606694389857,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.1853958581952811,2.0755175663969445,1.8056905590593075,1.1123479570443957,0.3620016900619106,-1.4212859718499757,-0.213625493311408,-0.29603762729676386,0
ARE,2023,0.2987578247502165,-0.19062669342470942,-1.008129719325009,2.1778573993163226,-0.044102305664952594,-0.24451868391876644,0.4150283770339002,2.2323017615888268,2.135335156368083,1.1123479570443957,0.4629122470376705,-1.2604685077480071,-0.213625493311408,0.21503501866037064,0
ARE,2024,0.21367823831052782,-0.18998251613380707,-1.006155348383297,2.4100484973940985,0.09139171066580576,-0.24451868391876644,0.8000413586226851,2.2323017615888268,2.135335156368083,1.1123479570443957,0.4629122470376705,-1.275410158296738,-0.213625493311408,-0.009898807868307255,0
ARG,1990,-1.5628744608746965,0.38314844833203476,-0.2866068274038851,0.47317324683007495,0.20751269471712003,-0.24451868391876644,-0.32140578220623817,-0.9231315104812686,-1.1240054151785097,-1.0710562283122909,-1.7358527675018158,1.7881497185620014,-1.2568205820638712,8.043572658517492,0
ARG,1991,1.6277905440131475,0.38314844833203476,-0.2866068274038851,-0.13948223095521756,0.06743362016709926,3.861587584196982,-0.323547657449577,-1.0109233951616328,-1.1240054151785097,-1.3755953455862746,-1.6245384623153447,1.365406542192406,-1.319896624519233,6.644767078873947,0
ARG,1992,1.2988809586593593,0.38314844833203476,-0.08478224225112324,-0.4979762669300965,0.20878542147036638,-0.07740588972471563,-0.21867523901204874,-1.0156835720161133,-1.1213823641421032,-1.364576457886022,-1.265299045496426,0.9208403025601029,-1.2600922882989984,2.509350501518071,0
ARG,1993,1.3730584120849139,0.38314844833203476,0.7356785713046695,-0.6770995495375315,0.44995293977137213,-0.20850147811080305,-0.3405819366556937,-1.0156835720161133,-1.0756301694576031,-1.0456338601546893,-0.7459962181474963,0.28420362537198,-1.2006826357234737,1.6699280760305015,0
ARG,1994,0.7209766814786207,0.38314844833203476,1.0998403227759572,-0.8144960444050607,0.1836473435056481,-0.24424985955372644,-0.30319623450196187,-1.0156684733567305,-1.0256324424324552,-1.1195333235392864,-0.6977284845661982,0.21017957291016887,-1.1589183482468273,0.15735331628288235,0
ARG,1995,-1.6668420775311552,0.38314844833203476,2.6442371482927443,-0.4220285787227908,0.15479010078832836,-0.24132883436294503,-0.18048709265000432,-0.9453412071654604,-1.0455209468148208,-1.013590388307461,-0.9525725526276938,0.10950252760290576,-1.1656134973640246,-0.9149503550279333,1
ARG,1996,0.6358458271185594,0.38314844833203476,2.2734941603490837,-0.5087541900279856,0.2535537400047724,-0.24489473530270922,-0.1194081375844846,-0.9208730127472955,-1.007290043471487,-0.9376930425976141,-0.7571691128504616,0.16033382516264663,-1.1608763617414843,0.21925494944302115,0
ARG,1997,1.3466722673521028,0.38314844833203476,1.7711264429579698,-0.7938217469715961,0.15552784137807976,-0.24521712618935537,-0.026861978714601394,-0.9165478871326223,-0.9415305682825301,-0.9948567255062457,-0.5480744166612131,0.2820917555382627,-1.1243330182199045,0.571387393272842,0
ARG,1998,0.17472209119446397,0.38314844833203476,1.2950836714563465,-0.9141796477134888,0.20741272652401876,-0.24451868391876644,-0.13783677446274134,-0.9212986399592087,-0.9353663664138584,-1.0604579935477072,-0.5229037210412418,0.21349831969744973,-1.077884477594088,-0.21775051972281362,0
ARG,1999,-1.8154369372730395,0.38314844833203476,1.6022080401670713,-0.8054535085715065,0.4640639785233214,-0.24451868391876644,0.8319220200991552,-0.9405415264030306,-0.9887839955776354,-1.3633156545372735,-1.0634497405088892,0.05932983785814561,-1.0623995737233887,-0.5535368774306865,0
ARG,2000,-1.101282077924377,0.38314844833203476,1.8106138617922058,-0.6244145527250624,0.34301117743305143,-0.24451868391876644,0.059764011056273596,-0.9026317957892586,-0.9856654611310885,-1.2766093420367155,-1.1207492297393233,-0.02286203496778132,-1.0832947657150243,-0.6875133903177056,0
