economy,year,anomaly_score,anomaly_score_negated,predicted_anomaly,crisis_label
ARE,1990,-0.04101002108710494,0.04101002108710494,1,0
ARE,1991,0.008803446922498293,-0.008803446922498293,0,0
ARE,1992,0.02321831939757757,-0.02321831939757757,0,0
ARE,1993,0.023531634391803224,-0.023531634391803224,0,0
ARE,1994,0.026041982287759557,-0.026041982287759557,0,0
ARE,1995,0.029825237075083555,-0.029825237075083555,0,0
ARE,1996,0.023926977832842478,-0.023926977832842478,0,0
ARE,1997,0.02739201006448011,-0.02739201006448011,0,0
ARE,1998,0.004059913822091421,-0.004059913822091421,0,0
ARE,1999,0.018245932175677382,-0.018245932175677382,0,0
ARE,2000,0.01540727206971676,-0.01540727206971676,0,0
ARE,2001,0.027281001322995713,-0.027281001322995713,0,0
ARE,2002,0.03056707333327008,-0.03056707333327008,0,0
ARE,2003,0.032612530589799515,-0.032612530589799515,0,0
ARE,2004,0.00521519953741012,-0.00521519953741012,0,0
ARE,2005,0.01870252997391797,-0.01870252997391797,0,0
ARE,2006,-0.0009489459986568027,0.0009489459986568027,1,0
ARE,2007,-0.013066893077610775,0.013066893077610775,1,0
ARE,2008,-0.016653943412516803,0.016653943412516803,1,0
ARE,2009,-0.06973359232053711,0.06973359232053711,1,1
ARE,2010,0.007481827236706262,-0.007481827236706262,0,0
ARE,2011,0.004435357865187783,-0.004435357865187783,0,0
ARE,2012,-0.006544002664688131,0.006544002664688131,1,0
ARE,2013,-0.009143921962121215,0.009143921962121215,1,0
ARE,2014,-0.008502390366159629,0.008502390366159629,1,0
ARE,2015,-0.018329705994448275,0.018329705994448275,1,0
ARE,2016,-0.01467060438963208,0.01467060438963208,1,0
ARE,2017,-0.03603374103219231,0.03603374103219231,1,0
ARE,2018,0.005892973702858795,-0.005892973702858795,0,0
ARE,2019,-0.018078829832891885,0.018078829832891885,1,0
ARE,2020,-0.10440518305892343,0.10440518305892343,1,1
ARE,2021,-0.03309596877619214,0.03309596877619214,1,0
ARE,2022,-0.044333804499434415,0.044333804499434415,1,0
ARE,2023,-0.06333143008010378,0.06333143008010378,1,0
ARE,2024,-0.07165411544447642,0.07165411544447642,1,0
ARG,1990,-0.03289884227097256,0.03289884227097256,1,1
ARG,1991,-0.025367998881753673,0.025367998881753673,1,0
ARG,1992,0.008582922468081844,-0.008582922468081844,0,0
ARG,1993,0.013422925768291627,-0.013422925768291627,0,0
ARG,1994,0.0361942151742885,-0.0361942151742885,0,0
ARG,1995,-0.01211515798565882,0.01211515798565882,1,1
ARG,1996,0.027138762850473563,-0.027138762850473563,0,1
ARG,1997,0.016855212430311683,-0.016855212430311683,0,0
ARG,1998,0.04907439442414657,-0.04907439442414657,0,0
ARG,1999,-0.029376883893703354,0.029376883893703354,1,1
ARG,2000,0.016134322522357747,-0.016134322522357747,0,0
ARG,2001,-0.03338815151353147,0.03338815151353147,1,1
ARG,2002,-0.09636050442314614,0.09636050442314614,1,1
ARG,2003,-0.005864497848830752,0.005864497848830752,1,0
ARG,2004,0.01849125001106361,-0.01849125001106361,0,0
ARG,2005,0.027760631021476634,-0.027760631021476634,0,0
ARG,2006,0.05670476316523104,-0.05670476316523104,0,0
ARG,2007,0.06169004181377957,-0.06169004181377957,0,0
ARG,2008,0.08684219564546791,-0.08684219564546791,0,0
ARG,2009,0.0011425078909419462,-0.0011425078909419462,0,1
ARG,2010,0.04320017266065618,-0.04320017266065618,0,0
ARG,2011,0.07416766386193385,-0.07416766386193385,0,0
ARG,2012,0.05384435992954989,-0.05384435992954989,0,0
ARG,2013,0.07398097318938396,-0.07398097318938396,0,0
