economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation
ARE,1990,4.100966557142588,-0.07994690993685859,-0.966772264606371,2.2356390982685563,0.003034699152835645,-0.4883341381369136,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.582542357967415,-0.013433754713086103,-0.16925630138043624,-0.11637024223319871
ARE,1991,-0.6489473125425648,-0.07994690993685859,-1.108876873005068,2.2356390982685563,0.003034699152835645,-0.45012665074132074,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.5950590292730316,-0.013433754713086103,-0.045200125151120096,-0.11637024223319871
ARE,1992,0.026839043883317912,-0.07994690993685859,-1.0902898063552002,2.2356390982685563,0.003034699152835645,-0.4242425618208037,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.566798697577865,-0.013433754713086103,-0.09935414301694194,-0.11637024223319871
ARE,1993,-0.5399063997372243,-0.07994690993685859,-1.0500898715078124,2.2356390982685563,0.003034699152835645,-0.35813484925547134,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.521071726719229,-0.013433754713086103,-0.1331367449341845,-0.11637024223319871
ARE,1994,0.9923951654314414,-0.07994690993685859,-1.064570493200151,2.2356390982685563,0.003034699152835645,-0.4425878218579209,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.2350365608368306,-0.013433754713086103,-0.08145279337510457,-0.11637024223319871
ARE,1995,0.9357238680610204,-0.07994690993685859,-1.071918868387308,2.2356390982685563,0.003034699152835645,-0.37366088151130705,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.1883574981267906,-0.013433754713086103,-0.0687911818180149,-0.11637024223319871
ARE,1996,0.6939487262825497,-0.07994690993685859,-1.0641382358362006,2.2356390982685563,0.003034699152835645,-0.40103573179540786,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-1.2225056617792445,-0.013433754713086103,-0.0871144932861184,-0.11637024223319871
ARE,1997,1.3443192892253188,-0.07994690993685859,-1.0490092280979364,2.2356390982685563,0.003034699152835645,-0.41661438256423206,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-0.9046517403212632,-0.013433754713086103,-0.07519793913912322,-0.1163212918873121
ARE,1998,-0.8033685228256755,-0.07994690993685859,-1.0139963816179534,2.2356390982685563,0.003034699152835645,-0.4103547897911203,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-0.7188306935620392,-0.013433754713086103,-0.10163925584450652,-0.11583180676253275
ARE,1999,-0.09368660134845334,-0.07994690993685859,-0.9865480390071022,2.2356390982685563,0.003034699152835645,-0.6169564754914484,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-0.7374198543517457,-0.013433754713086103,-0.062048954440245954,-0.11637024223319871
ARE,2000,2.068344905104037,-0.07994690993685859,-0.974660961498466,2.2356390982685563,0.003034699152835645,-0.5235387683400995,1.6581610129207704,1.0260941543706472,1.1040217679692574,-0.2693422975868554,-0.6074469278753755,-0.013433754713086103,-0.04094636364808643,-0.11637024223319871
ARE,2001,-0.5024284451338585,-0.07994690993685859,-0.9329481258772516,2.2356390982685563,0.003034699152835645,-0.2999613303857045,0.3199814050106518,0.12021621254482692,1.1040217679692574,-0.27683902605902544,-0.5600551115795079,-0.013433754713086103,-0.004807790532863431,-0.11637024223319871
ARE,2002,-0.22113286472703858,-0.07994690993685859,-0.8862643305706075,2.2356390982685563,0.003034699152835645,-0.44512878214506213,0.33103027020996645,0.22960756282414765,1.1040217679692574,-0.2693422975868554,-0.604008541545751,-0.013433754713086103,-0.06713037887372886,-0.11637024223319871
ARE,2003,1.510280427362581,-0.07994690993685859,-0.8335289321686576,2.2356390982685563,0.003034699152835645,0.012104685065722116,0.5371244202159248,0.3369193599111127,1.1040217679692574,-0.34168548558181705,-0.744762699251463,-0.013433754713086103,-0.04175356564809598,-0.11637024223319871
ARE,2004,1.7185622714861746,-0.07994690993685859,-0.820128953886195,2.2356390982685563,0.003034699152835645,0.4705196775763844,0.7825412841010359,0.5920769297191731,1.1040217679692574,-0.7158171067224731,-0.8765469491272048,-0.013433754713086103,0.0049713997625437005,-0.11637024223319871
ARE,2005,0.4374090823287294,-0.07994690993685859,-0.7866290081800382,2.2356390982685563,0.003034699152835645,0.3701409826975426,0.9115166384293784,0.5505301207009385,1.1040217679692574,-0.6830661548262981,-1.0354263489210924,-0.013433754713086103,0.04264650060862136,-0.11637024223319871
ARE,2006,1.7921872630472364,-0.07994690993685859,-0.8203450825681702,2.2356390982685563,0.003034699152835645,0.3332185401109598,0.9449838179592975,0.5075573385016053,1.1040217679692574,-0.838973936320853,-1.2025213564063073,-0.013433754713086103,0.00257940450976866,-0.11637024223319871
