economy,year,anomaly_score,predicted_anomaly
BRA,2024,0.0,0
CAN,1990,0.0,0
CAN,1991,0.0,0
CAN,1992,0.0,0
CAN,1993,0.0,0
CAN,1994,0.0,0
CAN,1995,0.0,0
CAN,1996,0.0,0
CAN,1997,0.0,0
CAN,1998,0.0,0
CAN,1999,0.0,0
CAN,2000,0.0,0
CAN,2001,0.0,0
CAN,2002,0.0,0
CAN,2003,0.0,0
CAN,2004,0.0,0
CAN,2005,0.0,0
CAN,2006,0.0,0
CAN,2007,0.0,0
CAN,2008,0.0,0
CAN,2009,0.0,0
CAN,2010,0.0,0
CAN,2011,0.0,0
CAN,2012,0.0,0
CAN,2013,0.0,0
CAN,2014,0.0,0
CAN,2015,0.0,0
CAN,2016,0.0,0
CAN,2017,0.0,0
CAN,2018,0.0,0
CAN,2019,0.0,0
CAN,2020,0.0,0
CAN,2021,0.0,0
CAN,2022,0.0,0
CAN,2023,0.0,0
CAN,2024,0.0,0
CHE,1990,0.0,0
CHE,1991,0.0,0
CHE,1992,0.0,0
CHE,1993,0.0,0
CHE,1994,0.0,0
CHE,1995,0.0,0
CHE,1996,0.0,0
CHE,1997,0.0,0
CHE,1998,0.0,0
CHE,1999,0.0,0
CHE,2000,0.0,0
CHE,2001,0.0,0
CHE,2002,0.0,0
CHE,2003,0.0,0
CHE,2004,0.0,0
CHE,2005,0.0,0
CHE,2006,0.0,0
CHE,2007,0.0,0
CHE,2008,0.0,0
CHE,2009,0.0,0
CHE,2010,0.0,0
CHE,2011,0.0,0
CHE,2012,0.0,0
CHE,2013,0.0,0
CHE,2014,0.0,0
CHE,2015,0.0,0
CHE,2016,0.0,0
CHE,2017,0.0,0
CHE,2018,0.0,0
CHE,2019,0.0,0
CHE,2020,0.065171,0
CHE,2021,0.0,0
CHE,2022,0.0,0
CHE,2023,0.0,0
CHE,2024,0.0,0
CHL,1990,0.0,0
CHL,1991,0.0,0
CHL,1992,0.0,0
CHL,1993,0.0,0
CHL,1994,0.0,0
CHL,1995,0.0,0
CHL,1996,0.0,0
CHL,1997,0.0,0
CHL,1998,0.0,0
CHL,1999,0.0,0
CHL,2000,0.0,0
CHL,2001,0.0,0
CHL,2002,0.0,0
CHL,2003,0.0,0
CHL,2004,0.0,0
CHL,2005,0.0,0
CHL,2006,0.0,0
CHL,2007,0.0,0
CHL,2008,0.0,0
CHL,2009,0.0,0
CHL,2010,0.0,0
CHL,2011,0.0,0
CHL,2012,0.0,0
CHL,2013,0.0,0
CHL,2014,0.0,0
CHL,2015,0.0,0
CHL,2016,0.0,0
CHL,2017,0.0,0
CHL,2018,0.0,0
CHL,2019,0.0,0
CHL,2020,0.0,0
CHL,2021,0.0,0
CHL,2022,0.0,0
CHL,2023,0.0,0
CHL,2024,0.0,0
CHN,1990,0.0,0
CHN,1991,0.0,0
CHN,1992,0.0,0
CHN,1993,0.0,0
CHN,1994,0.0,0
CHN,1995,0.0,0
CHN,1996,0.0,0
CHN,1997,0.0,0
CHN,1998,0.0,0
CHN,1999,0.0,0
CHN,2000,0.0,0
CHN,2001,0.0,0
CHN,2002,0.0,0
CHN,2003,0.0,0
CHN,2004,0.0,0
CHN,2005,0.0,0
CHN,2006,0.0,0
CHN,2007,0.0,0
CHN,2008,0.0,0
CHN,2009,0.0,0
CHN,2010,0.0,0
CHN,2011,0.0,0
CHN,2012,0.0,0
CHN,2013,0.0,0
CHN,2014,0.0,0
CHN,2015,0.0,0
CHN,2016,0.0,0
CHN,2017,0.0,0
CHN,2018,0.0,0
CHN,2019,0.0,0
CHN,2020,0.0,0
CHN,2021,0.0,0
CHN,2022,0.0,0
CHN,2023,0.0,0
CHN,2024,0.0,0
COL,1990,0.0,0
COL,1991,0.0,0
COL,1992,0.0,0
COL,1993,0.0,0
COL,1994,0.0,0
COL,1995,0.0,0
COL,1996,0.0,0
COL,1997,0.0,0
COL,1998,0.0,0
COL,1999,0.0,0
COL,2000,0.0,0
COL,2001,0.0,0
COL,2002,0.0,0
COL,2003,0.0,0
COL,2004,0.0,0
COL,2005,0.0,0
COL,2006,0.0,0
COL,2007,0.0,0
COL,2008,0.0,0
COL,2009,0.0,0
COL,2010,0.0,0
COL,2011,0.0,0
COL,2012,0.0,0
COL,2013,0.0,0
COL,2014,0.0,0
COL,2015,0.0,0
COL,2016,0.0,0
COL,2017,0.0,0
COL,2018,0.0,0
COL,2019,0.0,0
COL,2020,0.0,0
COL,2021,0.0,0
COL,2022,0.0,0
COL,2023,0.0,0
COL,2024,0.0,0
CZE,1990,0.0,0
CZE,1991,0.0,0
CZE,1992,0.0,0
CZE,1993,0.0,0
CZE,1994,0.0,0
CZE,1995,0.0,0
CZE,1996,0.0,0
CZE,1997,0.0,0
CZE,1998,0.0,0
CZE,1999,0.0,0
CZE,2000,0.0,0
CZE,2001,0.0,0
CZE,2002,0.0,0
