economy,year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ARE,1990,2.774029809293894,-0.18469802649711667,-0.14398579815886847,-0.25461748364024467,-2.3103440771037937,-1.1158161681259757,1.1602461176313925,-0.762247631963875,3.6847363188354167
ARE,1991,1.9311260986416838,-0.14831142278705547,-1.3847090464154976,1.9617978824102877,-1.271961022089912,-1.5518228526177098,-0.14278905783963988,0.17510180834650352,0.4873242736555945
ARE,1992,2.067315110976564,-0.17319585481010139,-1.208124917191258,1.6308295559722383,-1.415103857209796,-1.4687896785518026,0.044234331997077964,0.058483616790444524,0.927480677095107
ARE,1993,1.9803008814713932,-0.19942174723520892,-1.3731691725371256,1.867660768041455,-1.2770992025559624,-1.4392172823258929,-0.10274095687191619,0.17269015496768592,0.5253583436518902
ARE,1994,2.3246372240577564,-0.10154286766467797,-0.8866802714410327,1.0993394819380842,-1.559390201359516,-1.2754365318130856,0.1749683893317142,-0.19610209781131183,1.4865957225464792
ARE,1995,2.3403235103800224,-0.08855426189547123,-0.9139541367113693,1.0933274633970378,-1.537246298246689,-1.2475165136727824,0.18214637472636253,-0.16012962840924336,1.4176299346004009
ARE,1996,2.2811107807600957,-0.10782310583814086,-0.9750892478544679,1.224121320390583,-1.4905888351090735,-1.2777706482211728,0.10833447361115153,-0.12341940738943173,1.2737010241957514
ARE,1997,2.48037642490109,-0.04460485210333879,-0.7369074245461443,0.8430693295325472,-1.569036795995324,-1.1174685160004592,0.15580410020432342,-0.31072826904731693,1.6243597257779927
ARE,1998,2.131485830888652,-0.0588580293293599,-1.2658037061611114,1.8043625639848553,-1.0540047178818457,-1.172806485021604,-0.5323873626224682,0.044883585317830266,0.1412164444509858
ARE,1999,2.2094096113449297,-0.025032525690680627,-1.027306800716137,1.5374003293671865,-1.2130923365188673,-1.179499665550333,-0.43740228440797924,-0.19712102108821444,0.6736553068686095
