economy,year,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth,Exchange_Depreciation,crisis_label
ARE,1990,3.9118857189695273,1.5329686860312592,-0.833528099436949,2.343188000924292,0.17649987806866524,-0.7760764719425661,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-1.157678129833281,0.14478682424807457,-1.7419176734895827,-0.1253796980708391,0
ARE,1991,-0.6233091095659398,1.5329686860312592,-0.833528099436949,2.343188000924292,0.17649987806866524,-0.6780272654714163,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-1.1672112452153531,0.14478682424807457,0.39680885791323517,-0.1253796980708391,0
ARE,1992,0.02192844061739444,1.5329686860312592,-0.815255497715925,2.343188000924292,0.17649987806866524,-0.6116027358338538,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-1.1456872316651399,0.14478682424807457,-0.5368055602645629,-0.1253796980708391,0
ARE,1993,-0.519197372506938,1.5329686860312592,-0.7757356846913844,2.343188000924292,0.17649987806866524,-0.4419551300768383,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-1.1108600417019088,0.14478682424807457,-1.1192170871737113,-0.1253796980708391,0
ARE,1994,0.9438367634300086,1.5329686860312592,-0.7899713162647404,2.343188000924292,0.17649987806866524,-0.6586808954239478,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-0.8930060953045549,0.14478682424807457,-0.22818657336185058,-0.1253796980708391,0
ARE,1995,0.889727282329509,1.5329686860312592,-0.7971953681079361,2.343188000924292,0.17649987806866524,-0.48179850230826504,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-0.8574537603525205,0.14478682424807457,-0.009900588813949179,-0.1253796980708391,0
ARE,1996,0.6588815443340892,1.5329686860312592,-0.7895463720386701,2.343188000924292,0.17649987806866524,-0.5520486687175907,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-0.8834621435908541,0.14478682424807457,-0.325794190979721,-0.1253796980708391,0
ARE,1997,1.2798522176160572,1.5329686860312592,-0.7746733241262087,2.343188000924292,0.17649987806866524,-0.592027072163994,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-0.6413739690341436,0.14478682424807457,-0.1203529844898008,-0.12502334668113396,0
ARE,1998,-0.7707497355448216,1.5329686860312592,-0.740252841814512,2.343188000924292,0.17649987806866524,-0.5759635164037963,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-0.4998464465866834,0.14478682424807457,-0.576200869551924,-0.12145996625356191,0
ARE,1999,-0.09314886351007201,1.5329686860312592,-0.7132688834590462,2.343188000924292,0.17649987806866524,-1.1061509932399625,0.8335011097584706,0.5391290038418949,0.9286978969883988,-0.08801541301435614,-0.5140045730036203,0.14478682424807457,0.10633530537426213,-0.1253796980708391,0
