economy,year,lof_score,predicted_anomaly,crisis_label
ARE,1990,1.5418441141140495,1,0
ARE,1991,1.0855060120932583,0,0
ARE,1992,1.029158463370833,0,0
ARE,1993,1.0669642434916953,0,0
ARE,1994,1.0473133148790157,0,0
ARE,1995,1.0352121186850884,0,0
ARE,1996,1.0403046245245666,0,0
ARE,1997,1.0282264336065186,0,0
ARE,1998,1.0513766959682607,0,0
ARE,1999,1.0768478095782776,0,0
ARE,2000,1.0629212527506708,0,0
ARE,2001,1.1378398444805609,0,0
ARE,2002,1.0597050941195916,0,0
ARE,2003,1.0330921250717873,0,0
ARE,2004,1.084039707028838,0,0
ARE,2005,0.9852338198532484,0,0
ARE,2006,1.0425077595288845,0,0
ARE,2007,1.213522626744652,1,0
ARE,2008,1.2484000734001748,1,0
ARE,2009,1.5296402741856943,1,1
ARE,2010,1.079526994095702,0,0
ARE,2011,0.9960086868988333,0,0
ARE,2012,0.9819834204426103,0,0
ARE,2013,0.9587897823062322,0,0
ARE,2014,0.9614296251992969,0,0
ARE,2015,0.9664954977166567,0,0
ARE,2016,0.9593259257004669,0,0
ARE,2017,1.1520314568004062,0,0
ARE,2018,1.021772949187111,0,0
ARE,2019,1.01356408882672,0,0
ARE,2020,1.5194573908797477,1,1
ARE,2021,1.016473271752917,0,0
ARE,2022,1.0147214923791774,0,0
ARE,2023,1.0250654885350337,0,0
ARE,2024,1.1056773825026869,0,0
ARG,1990,1.6362086714679698,1,1
ARG,1991,1.6606890244964903,1,0
ARG,1992,1.4787531741045368,1,0
ARG,1993,1.2609921382577352,1,0
ARG,1994,1.2722539478565298,1,0
ARG,1995,1.1040958951596953,0,1
ARG,1996,1.1439438529758224,0,1
ARG,1997,1.148114142459591,0,0
ARG,1998,1.1246421624350433,0,0
ARG,1999,1.2191414007648014,1,1
ARG,2000,1.1633565803379633,0,0
ARG,2001,1.0903979738608647,0,1
ARG,2002,1.6042640431996436,1,1
ARG,2003,1.4501311404099035,1,0
ARG,2004,1.1256196298092112,0,0
ARG,2005,1.1764889352309424,0,0
ARG,2006,1.1633525221784846,0,0
ARG,2007,1.0885892278116807,0,0
ARG,2008,1.0499933526052867,0,0
ARG,2009,1.0587347680875088,0,1
ARG,2010,1.2069554580132893,1,0
ARG,2011,1.0337092915502617,0,0
ARG,2012,1.0346285264782051,0,0
ARG,2013,0.9945380785561442,0,0
ARG,2014,1.009389295452976,0,1
ARG,2015,0.9918289243027152,0,0
ARG,2016,1.014025595101144,0,1
ARG,2017,0.9912687401839175,0,0
ARG,2018,1.0251554222191401,0,1
ARG,2019,1.0081150588941532,0,1
ARG,2020,1.0996800887879778,0,1
ARG,2021,1.1282178867872854,0,0
ARG,2022,1.082526242193658,0,0
ARG,2023,1.0386578758936296,0,1
ARG,2024,1.1388678190360753,0,1
AUS,1990,1.034328076486116,0,1
AUS,1991,1.149811964504549,0,1
AUS,1992,1.0506169002561152,0,1
AUS,1993,0.9756263963385539,0,1
AUS,1994,0.9978797480137495,0,1
AUS,1995,0.9950009277344269,0,0
AUS,1996,1.0054075056879692,0,0
AUS,1997,0.9888741751581005,0,0
AUS,1998,0.9842212924969116,0,0
AUS,1999,0.9820484604316618,0,0
AUS,2000,0.9952942669686445,0,0
AUS,2001,1.0289539630671602,0,0
AUS,2002,0.9955384962432697,0,0
AUS,2003,1.0131242337444222,0,0
AUS,2004,1.0557493210299767,0,0
AUS,2005,1.3799353495919677,1,0
AUS,2006,0.9978481297498547,0,0
AUS,2007,1.083005863360953,0,0
AUS,2008,0.9886009677271016,0,0
AUS,2009,0.9898521217446603,0,0
AUS,2010,0.9948775196230126,0,0
AUS,2011,0.9926282909083396,0,0
AUS,2012,0.989672337506305,0,0
AUS,2013,0.9888662487930615,0,0
AUS,2014,0.9765185781492833,0,0
AUS,2015,0.9913584270699995,0,0
AUS,2016,0.9793966320034411,0,0
AUS,2017,0.9854779670878038,0,0
AUS,2018,0.9885415508613041,0,0
AUS,2019,1.092156254038529,0,0
AUS,2020,1.289745426434694,1,0
AUS,2021,1.2610001052993964,1,0
AUS,2022,1.2601733132176263,1,1
AUS,2023,1.1262480197377263,0,0
AUS,2024,1.0339503620075672,0,0
AUT,1990,1.0492222498053716,0,0
AUT,1991,0.993750104266066,0,0
AUT,1992,1.0010356323888225,0,0
AUT,1993,1.0754484491169038,0,0
AUT,1994,1.0031890418201441,0,0
AUT,1995,0.9954148216708667,0,0
AUT,1996,0.9728389909638387,0,0
AUT,1997,0.9874010621530879,0,0
AUT,1998,0.997707282045698,0,0
AUT,1999,0.9950754992377723,0,0
AUT,2000,0.9733402421436599,0,0
AUT,2001,0.9839120074881075,0,0
AUT,2002,0.9567366989419016,0,0
AUT,2003,0.9516327587078471,0,0
AUT,2004,0.960132703431559,0,0
AUT,2005,1.0576201006595913,0,0
AUT,2006,1.0110524439426363,0,0
AUT,2007,1.2403859107397714,1,0
AUT,2008,0.9679201106627657,0,0
AUT,2009,1.1005087847845128,0,1
AUT,2010,1.1869863479037854,0,0
AUT,2011,1.0316700089480724,0,0
AUT,2012,1.0031629003398543,0,0
AUT,2013,1.0556407257103948,0,0
AUT,2014,0.9976921823363089,0,0
AUT,2015,1.0181999133577435,0,0
AUT,2016,1.2569090015850648,1,1
AUT,2017,0.9864505105119805,0,0
AUT,2018,1.2625563720206714,1,0
AUT,2019,1.069206028470259,0,0
AUT,2020,1.1169477444626839,0,1
AUT,2021,1.3102607394467758,1,1
AUT,2022,1.226827693301768,1,1
AUT,2023,1.1704704709739213,0,1
AUT,2024,1.1019220826953608,0,0
BEL,1990,1.0211979504945494,0,0
BEL,1991,1.013794356834529,0,0
BEL,1992,1.020062636825462,0,0
BEL,1993,1.1541341606422906,0,0
BEL,1994,0.9939458632584612,0,1
BEL,1995,1.004192440475635,0,1
BEL,1996,1.020826967856287,0,1
BEL,1997,1.0168435235730624,0,0
BEL,1998,1.0142529527517457,0,1
BEL,1999,1.0348865766364899,0,0
BEL,2000,1.0080972367390841,0,0
BEL,2001,1.0013574243264936,0,0
BEL,2002,1.020234185322155,0,0
BEL,2003,1.104732417802701,0,0
BEL,2004,1.1022347591371229,0,0
BEL,2005,1.127468112388962,0,0
BEL,2006,1.0854770006638643,0,0
BEL,2007,1.0803618031893611,0,0
BEL,2008,1.0059281395731254,0,0
BEL,2009,1.3857700033595632,1,0
BEL,2010,1.0003018374127313,0,0
BEL,2011,1.0152296792298812,0,0
BEL,2012,1.019110984019144,0,0
BEL,2013,0.9808058607051043,0,0
BEL,2014,0.9931952038092694,0,0
BEL,2015,0.989458341799625,0,0
BEL,2016,1.0763981446198798,0,0
BEL,2017,0.9768806330621344,0,0
BEL,2018,0.9994602429444436,0,0
BEL,2019,1.0176406469960206,0,0
BEL,2020,1.3357385909814408,1,1
BEL,2021,1.2982152881275175,1,0
BEL,2022,1.052992837735642,0,1
BEL,2023,1.0209338576433384,0,0
BEL,2024,0.9778392249664496,0,0
BGD,1990,1.0454301754118944,0,0
BGD,1991,1.0141906038091686,0,0
BGD,1992,1.0214915608126596,0,0
BGD,1993,1.0064470735601978,0,0
BGD,1994,0.9956890962685891,0,0
BGD,1995,0.999347202154507,0,0
BGD,1996,1.0000338187672846,0,0
BGD,1997,0.9909036260355748,0,0
BGD,1998,1.0081887880327252,0,0
BGD,1999,1.0081887880327254,0,0
BGD,2000,1.0110838250667664,0,0
BGD,2001,0.9967157929787976,0,0
BGD,2002,1.0341212072259587,0,0
BGD,2003,1.00598972421973,0,0
BGD,2004,1.0241092866960924,0,0
BGD,2005,0.9778271412639526,0,0
BGD,2006,0.9992997787895789,0,0
BGD,2007,0.9924515863252148,0,0
BGD,2008,1.0118788409062565,0,0
BGD,2009,0.9912442860090522,0,0
BGD,2010,0.9912442860090522,0,0
BGD,2011,0.9933211064831319,0,1
BGD,2012,0.9769915298319853,0,0
BGD,2013,0.9803847558817547,0,0
BGD,2014,0.9947679103220887,0,0
BGD,2015,0.9984466698610392,0,0
BGD,2016,1.0281232840803811,0,0
BGD,2017,1.0232887498516146,0,0
BGD,2018,1.0321576743427836,0,0
BGD,2019,1.0512388837456295,0,0
BGD,2020,0.9830344223744196,0,1
BGD,2021,1.0278260037145577,0,1
BGD,2022,0.9932653854243542,0,1
BGD,2023,1.0128488091682988,0,0
BGD,2024,0.9918101631025238,0,0
BRA,1990,1.4382522023134867,1,1
BRA,1991,1.6909748495601353,1,0
BRA,1992,1.3555990903847959,1,0
BRA,1993,1.905917316690187,1,1
BRA,1994,1.8675658657406076,1,1
BRA,1995,0.9821512071304023,0,0
BRA,1996,1.0082098153530528,0,0
BRA,1997,1.002666893116315,0,0
BRA,1998,1.087450744362379,0,0
BRA,1999,1.0842843343110555,0,0
BRA,2000,1.1138636590908526,0,0
BRA,2001,1.017733725455169,0,0
BRA,2002,1.0096165492679556,0,0
BRA,2003,1.0225678354726442,0,0
BRA,2004,1.0942254086279148,0,0
BRA,2005,1.0649292598289783,0,0
BRA,2006,1.066655894550165,0,0
BRA,2007,1.1566379378258451,0,0
BRA,2008,1.0531674320807691,0,0
BRA,2009,1.0119126811436885,0,0
BRA,2010,1.341911119781543,1,0
BRA,2011,0.990140833477167,0,0
BRA,2012,0.9924948762604157,0,0
BRA,2013,0.9776156441347542,0,0
BRA,2014,1.077198079053813,0,0
BRA,2015,1.0719133878979954,0,1
BRA,2016,1.1867027963232846,0,1
BRA,2017,1.232766547144792,1,1
BRA,2018,1.1704281720647474,0,0
BRA,2019,1.1572537240630294,0,0
BRA,2020,1.1792673352810872,0,1
BRA,2021,1.3700746401202313,1,1
BRA,2022,1.1053902265975215,0,0
BRA,2023,1.1472790028045403,0,0
BRA,2024,1.146775823669199,0,0
CAN,1990,1.0421743136892903,0,1
CAN,1991,1.0299708073456892,0,1
CAN,1992,1.0327761946927407,0,1
CAN,1993,1.0438946481916154,0,1
CAN,1994,0.9622165652462595,0,1
CAN,1995,0.9922076489886298,0,0
CAN,1996,1.0148879939451976,0,0
CAN,1997,0.9959145439648868,0,0
CAN,1998,0.9969850929102316,0,0
CAN,1999,1.0005139740056648,0,0
CAN,2000,1.073743375301589,0,0
CAN,2001,1.0477132245070029,0,0
CAN,2002,0.9981177158537811,0,0
CAN,2003,1.0205003112957522,0,0
CAN,2004,1.0142411136569591,0,0
CAN,2005,1.0316485352163047,0,0
CAN,2006,1.046993502965989,0,0
CAN,2007,1.1720358310350283,0,0
CAN,2008,1.0927801057513284,0,0
CAN,2009,1.0897857259054349,0,1
CAN,2010,0.9837034454977533,0,0
CAN,2011,0.990822798621911,0,0
CAN,2012,0.957284940361782,0,0
CAN,2013,0.9650598590116056,0,0
CAN,2014,0.9797469189794203,0,0
CAN,2015,1.0040808901407061,0,0
CAN,2016,0.9865389104691745,0,0
CAN,2017,0.9678209647182756,0,0
CAN,2018,0.9516534770597911,0,0
CAN,2019,0.9830958795303477,0,0
CAN,2020,1.046475416420395,0,1
CAN,2021,1.1492284416599385,0,0
CAN,2022,1.246981841889976,1,1
CAN,2023,1.0866259384771073,0,0
CAN,2024,1.045038611024717,0,0
CHE,1990,1.2920834761233675,1,1
CHE,1991,1.1919161979808996,1,1
CHE,1992,1.0619162099664121,0,0
CHE,1993,1.0306549462073613,0,0
CHE,1994,0.9737553797016775,0,0
CHE,1995,1.015928177670891,0,0
CHE,1996,1.01055589653375,0,0
CHE,1997,1.025582839586382,0,0
CHE,1998,1.0144993425758757,0,0
CHE,1999,1.0002047357195045,0,0
CHE,2000,1.0920026329004828,0,0
CHE,2001,0.9814826966193504,0,0
CHE,2002,1.014577930590335,0,0
CHE,2003,1.058422505349349,0,0
CHE,2004,1.0665748102587713,0,0
CHE,2005,0.9952371339938806,0,0
CHE,2006,1.2984000098634685,1,0
CHE,2007,1.086674495600993,0,0
CHE,2008,1.175489205689676,0,0
CHE,2009,1.4065071952988248,1,1
CHE,2010,1.0647016433792256,0,0
CHE,2011,1.1258243650078348,0,0
CHE,2012,1.1557724930009443,0,0
CHE,2013,1.1183116193549394,0,0
CHE,2014,1.2108287643231492,1,0
CHE,2015,1.2636130777648493,1,0
CHE,2016,1.282823827585356,1,0
CHE,2017,1.3036171862057337,1,0
CHE,2018,1.2779330674253804,1,0
CHE,2019,1.285330178330013,1,0
CHE,2020,1.3215990045658716,1,1
CHE,2021,1.2706757510874287,1,0
CHE,2022,1.1141032307364094,0,0
CHE,2023,1.1948223006628296,1,0
CHE,2024,1.2039606687282798,1,0
CHL,1990,1.0043186039362269,0,1
CHL,1991,1.0201949614405836,0,1
CHL,1992,1.09788808047606,0,0
CHL,1993,1.0221574831312257,0,0
CHL,1994,0.9975437095098506,0,0
CHL,1995,1.0244725091729683,0,0
CHL,1996,1.0351664495971666,0,0
CHL,1997,1.0546577007237117,0,0
CHL,1998,1.0035211921678695,0,0
CHL,1999,1.6766840725825407,1,1
CHL,2000,0.9826394455994611,0,0
CHL,2001,1.04150051104769,0,0
CHL,2002,1.0086501144031683,0,0
CHL,2003,0.9947794405985186,0,0
CHL,2004,1.0597471532496088,0,0
CHL,2005,1.0384989574536045,0,0
CHL,2006,1.0240470819613774,0,0
CHL,2007,1.0211962406363564,0,0
CHL,2008,1.4434737446631907,1,0
CHL,2009,1.7159908268010284,1,1
CHL,2010,1.0534612794365799,0,0
CHL,2011,1.2629778985619518,1,0
CHL,2012,1.2962458090992193,1,0
CHL,2013,1.213464189341632,1,0
CHL,2014,1.2253131683232075,1,0
CHL,2015,1.09986505210393,0,0
CHL,2016,1.0097423075346206,0,0
CHL,2017,0.9958550609985533,0,0
CHL,2018,1.0307234439457678,0,0
CHL,2019,1.1091041602933145,0,0
CHL,2020,1.0539194645900618,0,1
CHL,2021,1.39035609947149,1,0
CHL,2022,1.2439437394538042,1,1
CHL,2023,1.107590090612345,0,0
CHL,2024,0.9875931682603841,0,0
CHN,1990,1.2774851954928976,1,0
CHN,1991,0.9939728188883864,0,0
CHN,1992,1.0794379794286157,0,0
CHN,1993,1.195486397895698,1,1
CHN,1994,1.075534577365389,0,1
CHN,1995,1.0235995069219885,0,1
CHN,1996,1.0057124676686287,0,0
CHN,1997,0.9786078386131785,0,0
CHN,1998,0.9871883432522945,0,0
CHN,1999,0.9993826354396333,0,0
CHN,2000,0.9998321927535218,0,0
