economy,year,GDP_Growth,GDP_PerCapita_Growth,Inflation_CPI,Total_Reserves,Unemployment,Current_Account_GDP,Trade_GDP,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Exchange_Rate,Manufacturing_Value,Investment_GDP,crisis_label
ARE,1990,18.3279855336307,11.5726645148372,12.2504202448139,4890564527.19409,1.629,13.1295816769393,89.8645799289427,-0.228435309603761,49.1592253276122,40.7053546013305,33.8347069654515,3.671,7.4938885157824,22.5025971503274,0
ARE,1991,0.860081947717788,-4.58878497796955,12.2504202448139,5646813747.13069,1.629,13.1295816769393,89.8645799289427,0.0503179637301319,49.1592253276122,40.7053546013305,33.8347069654515,3.671,7.42306391613121,22.5025971503274,0
ARE,1992,3.34494485849423,-1.93799997086113,12.2504202448139,5977160986.47751,1.715,13.1295816769393,89.8645799289427,0.239162943469002,49.1592253276122,40.7053546013305,33.8347069654515,3.671,7.58367150146651,22.5025971503274,0
ARE,1993,1.26119094566648,-3.63136091579908,12.2504202448139,6415331634.69035,1.901,13.1295816769393,89.8645799289427,0.72147194906954,49.1592253276122,40.7053546013305,33.8347069654515,3.671,7.8437806072478,22.5025971503274,0
ARE,1994,6.89614855343763,2.02491526781941,12.2504202448139,6963509610.43121,1.834,13.1295816769393,89.8645799289427,0.105319789259975,49.1592253276122,40.7053546013305,33.8347069654515,3.671,6.58769274582126,22.5025971503274,0
ARE,1995,6.68788645972636,2.02215215126262,12.2504202448139,7778376180.61088,1.8,13.1295816769393,89.8645799289427,0.608195467069962,49.1592253276122,40.7053546013305,33.8347069654515,3.671,6.77246265719199,22.5025971503274,0
ARE,1996,5.79840406919965,-0.836570707044856,12.2504202448139,8350159123.92297,1.836,13.1295816769393,89.8645799289427,0.408474866706161,49.1592253276122,40.7053546013305,33.8347069654515,3.671,6.63729265402844,22.5025971503274,0
ARE,1997,8.19039864916886,-0.251832471408235,12.2504202448139,8603051266.48806,1.906,13.1295816769393,89.8645799289427,0.294815985875101,49.1592253276122,40.7053546013305,33.8347069654515,3.671125,7.89550062539303,22.5025971503274,0
ARE,1998,0.291994342094213,-7.06429544482174,12.2504202448139,9305872456.3249,2.068,13.1295816769393,89.8645799289427,0.340485312002994,49.1592253276122,40.7053546013305,33.8347069654515,3.6725,8.63108731478083,22.5025971503274,0
ARE,1999,2.90221363963283,-4.20539217851939,12.2504202448139,10790300349.0116,2.195,13.1295816769393,89.8645799289427,-1.16683578609984,49.1592253276122,40.7053546013305,33.8347069654515,3.6725,8.55748953651097,22.5025971503274,0
ARE,2000,10.8527042153779,3.63193280286305,12.2504202448139,13631620189.1667,2.25,13.1295816769393,89.8645799289427,-0.485281532912816,49.1592253276122,40.7053546013305,33.8347069654515,3.6725,9.07200029229159,22.5025971503274,0
ARE,2001,1.39908503706683,-4.86457732769431,12.2504202448139,14256130113.4801,2.443,13.1295816769393,89.8645799289427,1.14589216998935,49.1592253276122,40.7053546013305,33.8347069654515,3.6725,13.3137591852656,22.5025971503274,0
