economy,year,GDP_Growth,GDP_PerCapita_Growth,Inflation_CPI,Total_Reserves,Unemployment,Current_Account_GDP,Trade_GDP,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Exchange_Rate,Manufacturing_Value,Investment_GDP,crisis_label
ARG,1997,1.3181141626378863,1.2962259565946843,0.06806095652659162,-0.3009822559986947,1.7338581406196647,-0.7756136660111485,-0.9345878008027678,-0.027743106758309988,-0.9180270481094385,-0.9431176872896141,-0.9978556601489512,-0.22558860633430555,0.2827199504327648,-0.5631371695560495,0
ARG,1998,0.16843379377750578,0.14937737453822017,0.06806095652659162,-0.29431349602072865,1.26670187963176,-0.8932710900342685,-0.9343444182084691,-0.12201570620787758,-0.9227104961046436,-0.9370435578216214,-1.0632857812540606,-0.22558860633430555,0.21470449359532282,-0.5378522649408152,0
ARG,1999,-1.7839075365006607,-1.811771554020132,0.06806095652659162,-0.2902142097716853,1.5680930157529889,-0.7869844451478736,-0.9689171651009446,0.7017901119160228,-0.9416807648656124,-0.9896806392032415,-1.3653533178698678,-0.22558860633430555,0.06183505946215037,-1.0808509467706358,1
ARG,2000,-1.0833232976627083,-1.1003757445579645,0.06806095652659162,-0.29350051954055006,1.772608429549537,-0.6100074701306122,-0.9471308599762537,0.045845289422440955,-0.9043081087155745,-0.9866076733299154,-1.278873213187998,-0.22558860633430555,-0.01966425180655452,-1.1384104255219356,0
ARG,2001,-2.0600397601700537,-2.0757222156987654,0.06806095652659162,-0.32256750557430386,2.272056597979002,-0.31521064826334916,-0.9606660557210592,-0.345361948966755,-0.8852016128441234,-1.0386319339999155,-1.297767887690748,-0.22558860633430555,-0.08961558455124785,-1.471690633787027,1
ARG,2002,-3.8100163013779422,-3.7109013721988067,0.06806095652659162,-0.333712899279979,2.76074079726128,1.430007317893973,-0.6109380954509142,-0.15482268607051286,-0.34345354357103336,-0.9204118942167652,-0.42514642939552616,-0.22487336196471022,0.6524719946374545,-1.9871570320523064,1
ARG,2003,1.5140040832621935,1.547247384004573,0.06806095652659162,-0.3236599793214481,1.8501090074092814,0.9943007133867418,-0.6304095110662528,-0.27851330911061273,-0.42249492378002984,-0.8691184514623642,-0.37724338946067637,-0.22492972442526338,1.0255569869177097,-1.730100485461858,0
ARG,2004,1.5659537905667988,1.6053222522112836,0.06806095652659162,-0.30856683282502145,1.4544255015586967,0.24942364071774936,-0.6295677571788652,-0.11295266438997602,-0.48966131845402855,-0.7877613756993742,-1.3505525692055358,-0.22492186702042805,0.4064040971765084,-1.1353034115097487,0
ARG,2005,1.517948659956732,1.5529112893818497,0.06806095652659162,-0.2854644547435101,1.0204222655441273,0.36765489257679024,-0.6320522633977737,-0.0932068548983724,-0.5090615157687366,-0.7701873429765433,-1.3596379256620317,-0.22492867488371573,0.3023442234359203,-0.9017052991032614,0
ARG,2006,1.3008737460518787,1.3336440048239364,0.06806095652659162,-0.2746552208991451,0.7130033067004738,0.3913439564009574,-0.6341223071179417,-0.12990933181319825,-0.516127952371103,-0.7663168501593897,-0.41608218504324773,-0.22487646149137216,0.22165266771321795,-0.9380078555495643,0
ARG,2007,1.5600386148638206,1.6061730423290315,0.06806095652659162,-0.23590360894703813,0.3668340589269485,0.2751590875848046,-0.6251299279959623,-0.14766292649437235,-0.5278615242084821,-0.7328904308396396,-0.3164201301372588,-0.22486213567696292,0.07681624932205174,-0.6901470542657578,0
ARG,2008,0.2243018031163564,0.25171159765675166,0.06806095652659162,-0.23525645762132322,0.23056220952356413,0.17354862410851268,-0.6346636959649711,-0.08765994019284594,-0.54726517890283,-0.730624706201314,-0.4516312461367737,-0.22484532139383548,-0.011973252889793826,-0.7821081449634013,0
ARG,2009,-2.4673876745588768,-2.476685959512183,0.06806095652659162,-0.23080829240640607,0.40450795094210185,0.2877635458451092,-0.7461794112661035,-0.29060286928130213,-0.6278625029756472,-0.8774275105083863,-0.7950241488004398,-0.22464918052648983,-0.1784747246705374,-1.3970599649364939,1
ARG,2010,1.8616325930736757,1.8910329960230765,0.06806095652659162,-0.21928591166911723,0.2040828454214849,-0.14303381892420397,-0.7301189046808593,-0.08967632236145433,-0.6480822081279417,-0.8185996716922268,-0.9161428896237342,-0.22458465249731924,-0.13293596356680226,-1.1083506690477782,0
ARG,2011,0.749571346390696,0.7668382446537999,0.06806095652659162,-0.23558447156635462,0.08912365492953035,-0.247998846391788,-0.7259865578387842,-0.17593123990426515,-0.663706182329506,-0.7911237660069061,-0.9159763296990023,-0.22451053958415887,-0.13191775871981162,-0.9872835397712859,0
ARG,2012,-1.147385094589812,-1.1365431707869145,0.06806095652659162,-0.2439303054751238,0.09708899209844853,-0.14445929482610761,-0.80822539286223,-0.07168525414890063,-0.7350001438370042,-0.8853470308589403,-1.0534677636917522,-0.2243626236156046,-0.24248354484406853,-1.3186331531843325,0
ARG,2013,-0.221421405261051,-0.19254371210936896,0.06806095652659162,-0.27873792590917434,0.07190130429403155,-0.47842717119010264,-0.8291842076063636,-0.21224636731542407,-0.7872510978218238,-0.8690058189774242,-1.1777650875125054,-0.22404293742907902,-0.2783703268754312,-1.1781954155830683,0
ARG,2014,-1.548394723282488,-1.542256242432183,0.06806095652659162,-0.2763325562622347,0.10806824062857903,-0.3718928861800331,-0.8454775501788235,-0.3239874079643204,-0.7940761427117278,-0.8963169874662981,-1.0903008755996348,-0.22313632645988032,-0.31993089697760607,-1.1856904895690439,1
ARG,2015,-0.13350332979441126,-0.11898973252957006,0.06806095652659162,-0.29248984455676236,0.17458956995819314,-0.576878802227062,-0.9495247474967731,-0.18516895340058387,-0.9133586301642611,-0.9810913707913667,-1.2865368935497987,-0.22273502514050642,-0.423048090211888,-1.2192672947229424,0
ARG,2016,-1.43175359863868,-1.4078115944516751,0.06806095652659162,-0.25712098989400733,0.28459733464244147,-0.5342133655170277,-0.8861242218845513,-0.3756523479450589,-0.854635264717806,-0.9129044085913427,-1.2478052983467571,-0.2208202074972441,-0.5440202532011056,-1.1157423183051596,1
ARG,2017,-0.10993613498705793,-0.0487135923235947,0.06806095652659162,-0.21076361736550234,0.34035469482486885,-0.8925384046125673,-0.9002586401384776,-0.21085651038969958,-0.8935429034920387,-0.8975384488958076,-1.437946406967593,-0.22019480370929279,-0.657893109586622,-1.0197623448654036,0
ARG,2018,-1.5766670903861981,-1.5153742664092977,0.06806095652659162,-0.18084483515825223,0.5282935961347496,-0.9464524245472418,-0.8040780757862552,-0.15022972605076315,-0.7930700231828993,-0.8075803755621889,-1.6429627188240152,-0.21619801384391157,-0.44423027847595353,-1.2990823702466252,1
