krisis,tahun,total_observasi,terdeteksi,detection_rate
Krisis Asia 1997-1998,1997-1998,10,5,50.0
Krisis Rusia 1998,1998,1,1,100.0
Krisis Argentina 2001-2002,2001-2002,2,2,100.0
Global Financial Crisis 2008-2009,2008-2009,98,36,36.7
Krisis Utang Eropa 2010-2012,2010-2011-2012,15,8,53.3
Pandemi COVID-19 2020,2020,49,34,69.4
