economy,year,crisis_label,ocsvm_score,ocsvm_anomaly,GDP_Growth,Inflation_CPI,Unemployment,Current_Account_GDP,Reserves_Months_Imports,Exchange_Depreciation,FDI_Inflows_GDP,Exports_GDP,Imports_GDP,Gross_Savings_GDP,Investment_GDP,Manufacturing_Value,Domestic_Credit_GDP,Broad_Money_Growth
ARE,1990,0,1.2419329369616652,1,4.05683448972263,-0.035581967628654385,-1.1053483620829267,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.4875482013371949,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.5996672077672762,0.12947359835632732,-0.16754328835076893
ARE,1991,0,-0.03989098194373497,0,-0.6343182951227946,-0.035581967628654385,-1.1053483620829267,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.4493443726493213,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.6121397381509694,0.12947359835632732,-0.04352301518592882
ARE,1992,0,-0.1028204117416287,0,0.03310792246416966,-0.035581967628654385,-1.0868339912030354,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.42346276236119806,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.5839790685036768,0.12947359835632732,-0.09766136035205791
ARE,1993,0,-0.22894161911996092,0,-0.5266263251623443,-0.035581967628654385,-1.0467912820907124,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.35736138019900804,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.5384133570247258,0.12947359835632732,-0.13143418525559855
ARE,1994,0,-0.008530519435405282,0,0.9867191694877434,-0.035581967628654385,-1.0612152687064416,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.44180626567603154,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.2533869142777574,0.12947359835632732,-0.07976519153498829
ARE,1995,0,-0.0753072712671834,0,0.9307489515482598,-0.035581967628654385,-1.0685349037054686,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.3728859256987669,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.2068724685662973,0.12947359835632732,-0.06710724437148159
ARE,1996,0,-0.09738878250232297,0,0.6919648049768503,-0.035581967628654385,-1.0607847019417929,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.4002581545967762,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-1.240900206317263,0.12947359835632732,-0.08542525289495913
ARE,1997,0,-0.08567931752348157,0,1.3342896473287165,-0.035581967628654385,-1.0457148651790908,2.1359644323505655,-0.047018670510524455,-0.12625453352743854,-0.41583531357083164,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-0.92416721907474,0.12947359835632732,-0.07351214751468299
ARE,1998,0,-0.00018874706311056144,0,-0.7868291638528909,-0.035581967628654385,-1.0108389572425514,2.1359644323505655,-0.047018670510524455,-0.1257765407112692,-0.40957632020956186,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-0.7390014833096648,0.12947359835632732,-0.0999458118457359
ARE,1999,0,-0.03691799109175209,0,-0.0859267025387871,-0.035581967628654385,-0.9834979676873632,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.616158221955649,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-0.7575250881160748,0.12947359835632732,-0.06036696825991812
ARE,2000,0,0.18653872571634933,1,2.049358357501773,-0.035581967628654385,-0.9716573816595255,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.5227494603830223,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-0.6280105203086879,0.12947359835632732,-0.03927048476286353
ARE,2001,0,-0.1298971166199374,0,-0.48961200954917644,-0.035581967628654385,-0.9301076888709322,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.2991934319625661,0.3376410680938044,0.1356782431395074,1.1076140599036985,-0.25658487520997203,-0.5807858345870637,0.12947359835632732,-0.003142370502330917
ARE,2002,0,-0.17024251505310106,0,-0.2117963308666421,-0.035581967628654385,-0.8836064782888797,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.44434698264356054,0.34872279307779264,0.24490168710970053,1.1076140599036985,-0.2491641988702552,-0.6245842596903497,0.12947359835632732,-0.06544692207972737
ARE,2003,0,-0.3477935914527879,0,1.4981976837075612,-0.035581967628654385,-0.8310773330017462,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,0.012842700384330505,0.5554298756582299,0.3520487698227346,1.1076140599036985,-0.32077348623964347,-0.7648420379566745,0.12947359835632732,-0.04007745315076014
ARE,2004,0,-2.2689512062523676e-05,0,1.7039028775067706,-0.035581967628654385,-0.8177297632976386,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,0.47121379557051324,0.8015766195045008,0.606814694718441,1.1076140599036985,-0.6911096507739216,-0.8961615414040361,0.12947359835632732,0.0066339896002525186
ARE,2005,0,-0.12486847787075339,0,0.4385988075767776,-0.035581967628654385,-0.7843608390373693,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,0.37084471284705883,0.9309355519012674,0.5653316564767848,1.1076140599036985,-0.6586909477701565,-1.0544806418171782,0.12947359835632732,0.04429818690556396
ARE,2006,0,0.025038629700063986,1,1.7766170558417118,-0.035581967628654385,-0.8179450466799629,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,0.3339258059136926,0.9645022642151556,0.5224248338001525,1.1076140599036985,-0.8130170901146843,-1.2209863770031455,0.12947359835632732,0.004242686614177912
ARE,2007,0,-0.3688119990449765,0,-0.010095467864851467,-0.035581967628654385,-0.8244035481496924,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,0.2976071749387788,1.0854497230661602,1.0401657402789453,1.1076140599036985,0.20763945689072383,-1.3315475981548817,0.12947359835632732,0.10299153707217477
ARE,2008,0,-0.4672712291637988,0,-0.008108226600396942,-0.035581967628654385,-0.8493764204993133,2.1359644323505655,-0.047018670510524455,-0.12630233459941873,-0.2362888562978235,1.2942190171035135,1.2397516104635549,1.1076140599036985,0.19023656314226053,-1.406005257434825,0.12947359835632732,-0.006828825462258785
